Country,Category,Session,Timezone,Start Date,Start Time,End Date,End Time,Circuit,Title,Country Code
Germany,Moto3,Free Practice,Europe/Berlin,05/07/2024,09:00,05/07/2024,09:35,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,Moto2,Free Practice,Europe/Berlin,05/07/2024,09:50,05/07/2024,10:30,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,MotoGP,Free Practice 1,Europe/Berlin,05/07/2024,10:45,05/07/2024,11:30,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,Moto3,Practice 1,Europe/Berlin,05/07/2024,13:15,05/07/2024,13:50,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,Moto2,Practice 1,Europe/Berlin,05/07/2024,14:05,05/07/2024,14:45,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,MotoGP,Practice,Europe/Berlin,05/07/2024,15:00,05/07/2024,16:00,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,Moto3,Practice 2,Europe/Berlin,06/07/2024,08:40,06/07/2024,09:10,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,Moto2,Practice 2,Europe/Berlin,06/07/2024,09:25,06/07/2024,09:55,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,MotoGP,Free Practice 2,Europe/Berlin,06/07/2024,10:10,06/07/2024,10:40,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,MotoGP,Qualifying 1,Europe/Berlin,06/07/2024,10:50,06/07/2024,11:05,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
Germany,MotoGP,Qualifying 2,Europe/Berlin,06/07/2024,11:15,06/07/2024,11:30,Sachsenring,Liqui Moly Motorrad Grand Prix Deutschland,DEU
